NN,CustomerName,OrderNo,DeliveredDate,TotalAmount,Category,Country
1,Janice Yu,1872900264-1359317686,09/28/2021 10:56,54.81,Books,Congo (Congo-Brazzaville)
2,Brian Arnold,1372628692-1960330176,10/19/2021 11:43,87.68,Video Games,Azerbaijan
3,Charles Weaver,1042117570-1330189010,08/31/2021 16:12,17.47,Clothing, Shoes & Jewelry,Nepal
4,Lisa Roberts,1957702740-1671953626,09/29/2021 04:26,83.99,Home & Business Services,South Africa
5,Madison Good,1172094198-1244189497,11/14/2021 16:44,64.43,Cell Phones & Accessories,Japan
6,Ralph Martin,1584997571-1686685367,09/29/2021 04:54,54.27,Electronics,Estonia
7,Michelle Wyatt,1988839389-1064637169,10/14/2021 18:58,70.07,Industrial & Scientific,Uruguay
8,Elijah Maynard,1986599428-1066029438,08/28/2021 19:37,79.79,Sports & Outdoors,Luxembourg
9,Jeremy Friedman,1724298659-1539837159,08/11/2021 22:49,27.1,Appliances,Democratic Republic of the Congo
10,Justin Ford,1244494861-1238056611,08/29/2021 01:37,10.75,Clothing, Shoes & Jewelry,Belize
